원하는 클레이튼 NFT 이름,지갑 주소
DSC 메이트,0x85cAB9B3548761De8F51469e50167b77f948839E
클리츠,0x53dBa4af27e904d7C39c64ac72362b91c46f7d0E
메이트!!!!!!,0x5DdB703C993a610aBAB8DdE9Ad6596af2E7A2f77
DSC MATES,0xDFb6eB80771392A738D229D4d77d43d306C9e090
dsc mates,0x4B32f3455Ca40441510db1207482E0A61130305f
dsc,0xadDCce9c93c9c01F5cc410D4Fc45d8734a150D2e
도사클 메이트... 입니다...,0xB2bC28Ec1D09274857e62f6E34322C6bdfe8F8B4
SheepFarm,0xF1bCBA0f62ad8C7A2bF03323A2BcDDC127caf947
메이트,0x2bff18f6fd5d0cef188f7c37478f4f7ac0b8bfeb
Klayfox v1,0x9CF8c1b201A5C274249c04EfCd4188dED60D029A
KlayDino,0xCA603B5C3B8E989d6841bF79aA98FE6C74B05572
Klapes,0xa08524FcE89270794d3C068bACCA03A856645576
클레이폭스,0xd469a4927fCe7a32CDD48f25d028a15Fa11E0e8e
DSC메이트,0x60aeaa4ECE1c44B4c04074633405a68c91B48b2c
인절미 NFT,0xEc8fb34537366c0732c4C19d4b19E019E185cb69
Popo 레어,0x004DD0ACe8bB1D3838CF7DAd16db97626872F842
DSC MATES,0x2dc069aea7d32a701bbfd31a36e776b7a6a94c14
조까!,이걸 왜보고 있는겨 ㅠㅠ?
the Meta kongz,0x1b17D0892f11df9F22cadf3d16C6D7De257cf782
트레져스클럽,0xaCd5250c1a44EB001Be341Cf42D91cb55A22543c
AK Observer,0xCd888Bc06021684D1F9446548e690706e09Ad9f1
메이트,0xd1f5d7541Ca220649F753a333c57B2ccB3A38836
클레이도베르만NFT,0xB518c85C1d3Fb7CD2b3b9Ba640352CA282944088
메이트(Mate),0xD87CDdFE32696120836b51f94556BF0E3BbAe07f
DSC MATES,0x8ad6C496104Be7AbBf75caA9529a70aEb31D1831
무 조 건 D S C D S C D S C D S C D S C,0x37c73943AfF6da25A17E81b8f352AFc5c163Afd9
KlayFox,0x8B70c0b874D00df4516B411FAC7EF78073b74931
메이트,0xd45D04E10d10E1B06e1a5ae67c762EA93c6E6672
DSC MATES | DIGITAL IDENTITY,0x5339D482340936382ebC71832AB2f456270b02C2
Klaydobermann,0x814DD39BE76e4B922B39D5Fd9aDd7eF7091564Dc
T O R (토르),0xaC9ABA7099398f083cA488D807fDBe707B4b2009
"DSC 메이트 ""줘""",0xe7b3f36504E65E33551dAD9bB85Cb7933E8F15d1
Doge Sound Club,0xF592D2002FF1a142eE9Ce2FB359240c0E5513087
sheepfarm,0x10a06F008Bc46e27a8A7115e12Fd94c02A1EfCde
ART CARPET BOMBING Pixel Cat #8017,0xB491D04bc668303D6FfcacF233080Bf15b02dA57
klay Fox,0x0B1fEF3eCb7612Ae30c5288ABd61101956A34511
Cat Town Punks #10057,0x0B5d1597aC503E8E86324803e25179eC49f9EEc6
메이트,0xd45D04E10d10E1B06e1a5ae67c762EA93c6E6672
신타콩즈,0x0E46B123b6ea96801d52b5FD7645e503Ff0732bA
조선 다이너스티 토지,0x96b8530dbe2e48216deb32161f3700a6f8621936
말해뭐해 도사클이쥐,0xc019bf90cc782C92bf255b54A19816d968cB7714
DSC MATES | DIGITAL IDENTITY,0x297b79961B71973bcE849321E731962C084082C8
DSC 메이트,0x34d2f28FB0660d271846D9927ddF88f111615299
dsc 메이트,0x4A7a278a989cb181345655a968F10B96B2d5FeC9
DSC MATES | DIGITAL IDENTITY,0xBAa12eF34966bcff9Bb0Ca1D7137E5116F047F69
Klapes,0xc39221Ff3582F80f9176D8D566cB713B56bbBbfF
CatSle,0xe58CAD07547314De30124a9fC054c89442a2c209
말해뭐해 클레이튼 NFT 명실상부 1위,0x784FeE955d39AA8a05BA5747B1F721A09a75E0eC
조선왕국 랜드,0xB1F3c757EFa5D15f61e1C48243655bFDD7278Fd2
DSC Mate #2552,0x3138872F27d659265e846A21a7064F6403F3D1Cc
DSC MATES | DIGITAL IDENTITY,0x28FE7B2FBE5b6B8246aCF8DAA37f6C251b97dcD5
dsc mate,0x23f46Be3c59Df6dB4a1d174ed3B7c9ca8Bd50A4A
메타콩즈,0x4F1e48cD4338362a4510486E14e4178a3F6D765a
도싸클 메이트!,0x49c51B35CcA7C41DA195DE19F6fCDa3ff0BcAbA5
미스터리 에그,0x750ba3B33dcf7Cc2e5d7bF0296dd56842eD59077
DSC메이트 #5798,0xD25a9e1f910C6fd513ddE1875fD01Ca03BA80E86
DSC MATES,0x90AFAE2cc5666fd6F494636B498De7aF9EAEC0a3
도지사운드클럽,0x51477BAa175043E79Cd662eBaCd1d56a3Ca319A8
메타콩즈,0xE378a2ef0A9389a89465CCF6c48C154890123a62
DSC mate,0x3768Fa8eFD90c51c960E98661f19C120991E5511
the meta kongz,0x1b17D0892f11df9F22cadf3d16C6D7De257cf782
Cute cat club,0xe862e6b74DE04a70867ffc4FB3Da9878c4a10c18
Art carpet bombing,0x9758b2d3371ED057f3053166be8C062827A71663
DSC MATES | DIGITAL IDENTITY,0x0ab9b9af4986bf27e5992a54f7dd83c2c7e46859
DSC MATES,0x92978d24b269987138c3A40115ad612b8C67eEB3
DSC mate #106,0xd22892075DBce9C28c60f024Cc5eE7B9098B049b
GIANT BABY #031,0xDde609E214e8430361358B6670a0920723C00E3C
THE META KONGZ,0x296df9d3ba3b52583cd1ea1a399fd1222e662081
DSC Mate,0x691696aBD1C97fBD3c823B368Fa69cAaE1438b35
THE META KONGZ,0x77c5912f5b591261551e9caf4966fbf0207a1cae
메이트 주세요 제발요,0xBFE7a2FF93542eb258b769fc02e69870060FCC51
DSC 메이트,0x5Bb9bD9984d000b5540b5a8B9515B92A7E160C09
RURIA,0x4059987FBe3c9407Ff5783e9Da569Bd009C94F71
DSC MATES,0xFAcEA260797c3635eD8f93423e7489Aa4004B3a3
"도지사운드클럽, 바닥가격 아무거나 괜찮아요.",0x75947CBc8b948B1eC442E0bcA0064CC4cd4c65D6
NFT이름: KlayDino / Floor Price : 500,0xD3eAa041Dab1F0fA81b47b10bebA37C7280bEd1f
The Guardians,0xf79899ec352bC3b3b79cf347fA89bDe75e1a90b4
ALAP,0x6ed29fE7a0f2d5c9Fd266FcCaFe554D68497B24D
선착순 선물 게임,0x55cc9733649b7D96CD92c18F93dF85a85EB1f1CE
SheepFarm,0xD668F9481819ee0E9F805B0533048f38E416d17D
Klapes,0x265A1c83d5bF647f5d648b08ba2799C7ed529433
Klape #4548,0xc2b0545B0715692EF1e28963aB4899E7372523b9
클레이치킨,0x404749cE32cAE854b500E1A7B9664E730CC7697B
ART CARPET BOMBING,0x39E1191fe7bc8C60BF6c3da317cC9eCCB69d6e40
DSC,0xe27577484854dAf79E85172450EeDCd9013e1C6a
메타콩즈,0xC335A697125d42fCD79Ee261f6Ea1A1C7964688C
DSC 메이트,0xd7D3a4bF321721C8B26756B5caFEb9b5fBaaE3b0
ART CARPET BOMBING,0x676506c96073821E0ec7A92B38B00EAC5fF6802d
트레져스클럽,0xA61ce8B5ea8f08929E3B07F120Ec1D0B8De19144
sheepfarm nft,0x5DE51b7944c766b1CAdce299463059bdEc38C1BF
Dsc mate,0x8D5feEBd41FccCfB3D9A525f899E5A0b0B278cab
dsc mates,0xE64CC0b9aB170c6063a82570d597fE5fae9C9747
klapes,0xBa06bac2D147F753EdDa122789021b6C460DCDab
KlayFox - 0011,0xEBC808A635De0ae0183760bcc7C0B30E76534e65
DSC,0x72d8c6B7ad253e734c38210b8677683b4454eBa2
메타콩즈... 콩즈 물렸어....the meta kongz...,0xBf75D048717E563E98dD7A700c12F928d6D625fd
THE META KONGZ,0xE307362778C9cDea2609e4d5CA3E3209fd46fc79
메타콩즈,0x098eed810e7F618A49014356Ec6AD5913EF62Ba2
DSC Mate #4113,0xD2632aC30520C6bf58033f266A75f67238de273d
뉴클레이펑크 V1 슈퍼레어,0x555fd6FcbA7552bd6b5732C5eb2E3Daa390613c6
Dsc 메이트,0xe04Ec6ABD6397514A9677D11E6f0E686e8F0409e
DSC MATE(도사클)_근본 of 근본,0x9B96D6dd1D41bB0757AEE6F06533a8470A03f36C
DSC MATES,0x4cBbe1eDd5Fe30c4FD18aB4Ff8b0733a4409C0b8
도지사운드클럽 메이트,0xa8542093B4f2A572d4A6316509876e19D5A60001
클레이다이노 Floor Price: 500클레이,0xD3eAa041Dab1F0fA81b47b10bebA37C7280bEd1f
도싸클이최고야,0x7C28E53A0Ad6c372E134399D50726295f24cBfbC
sheepfarm 땅!,0x80788543b308aF9cE2072DE958aDD7C09Ee0e085
ALAP : THE LOST PIONEERS,0xb8599BDD97DE2164B3e7387f6379405AA90294d2
영재 nft,0x606FccDe40F2A1c8461B3893Cd267E4A3723ABaD
ALAP: The Lost Pioneers #686,0x84Fb514F1fdaB71ef8445c2c5152DCAc87f04096
도사클 메이트,0x3B1b027415aFe1296aD8700440C3cCB29c65B8D9
dsc mate,0x144A721d24699C259a3C5D02239cfB86f121FB45
Dogesoundclub,0x7C28E53A0Ad6c372E134399D50726295f24cBfbC
클리츠,0x8794E34DEAd849De924602C26F555a28dA055c01ㅡ
NewKlayPUNKS,0x31Ad3F1BE0efEDf817f044FdB6DC1BaE0422B1d8
메타콩즈,0x0055ebc7de7b4a687d05a6154143843546af1eb9
DSC메이트,0x4C0F2540c03d0734Cab6f88D4Db6988E660A5372
메이트!!,0x70FC55aB5048b397eBEB0Eb506b032a726bE9A54
klapes,0xFf47D1620B2f0B9e7CcA128d94FaAb7757A52257
0xFCe0829845246289d27a999aC8AF37305c2f8E25,0xFCe0829845246289d27a999aC8AF37305c2f8E25
Klapes,0x476e9B13EDa6d780055281eb78Ed96553E71300F
Joseon Dynasty,0x614Fa86eF285520e46840c371aa95d75217D1326
인절미 느프트 받고싶다 짹,0x192f784EE4C59e60E7c361f89370feF342b50675
[TREASURES] MASTER #09018,0x1D75E6Ab69ef720Ce352c05aFC2c1A2c465f911d
the-meta-kongz,0x2EE9197D58E2dB7BBEB03Dc1f02b26DA5E706372
dscmate,0x53Cf194f4E7A5D7971ebFD4Aa727fd75512c747b
DSC 메이트,0xAe3a62E51E5aaAC43C344A1451FB339356f77Dd6
Land : Joseon Dynasty,0x216eEc9BB718f230568459FDD2F013C66d67063D
dsc,0x5e75eC1d0dabbFFD721e800d77eD99a1441D2802
dsc,0x5e75eC1d0dabbFFD721e800d77eD99a1441D2802
Hi i am the first mixmon,0x90acfed581dce743b15a22a698192dd350e3ab7b
ALAP : THE LOST PIONEERS,0x23ef4D7E58353f6A48d7770c822315E417233166
Moonlight Window,0xcf3EccfB5692b02c453073A1888B0e0264a3A65f
메이트,0xd57dD30011f46f4A8Ca1c9500354C94451f8dc7A
DOGESOUNDCLUB MATES,0xaa75a03289E94410a1725948A24BbC0AE43bA58B
META KONGZ,0xD1931Cb06A5966827A4720410552020e89Ab308f
THE META KONGZ,0xc422Dbaf1aD779590945e6881dCfd49485cDA121
cuna,0x1Dcf97B70F310fe8AAF66B45e4C380b71380503C
Joseon Dynasty,0x03E61E39D9c06b1Dc150863B5C1dFd2857608dc6
메이트,0xE042255bfBaa2D1F677341277ecfb0Ca1905EA4B
Klaydobermann,0xc11c267e29785AB0c2a4591Bf7cb2C818340F3d3
일꾼,0x9179D812D71C5859922371A899b19E1cd1B82db6
조선 다이너스티 NFT,0xA5df7d1abA199C1B1F84FbA9E867c2afA9Cfb67b
THE META KONGZ,0x48dD22a5C0675625658c3F0a629217946DF772c6
ALAP,0x0A49Cde099E8BaECb33F941c9453e0192d82135A
DSC MATE,0x5BE95BE14ebFEbD25BDF464961b9081345bBf219
KlayFox(아무가나 상관없음),Ox2ECF492B586C0897aC2C9aE5881cE435865a3Eb3
klaydoges,0x2D3139b527F713Bf2c22DC458FDE6320B392aC75
KlayDino,0x96317719557050Fe9BD53137ef5FC3A51F5E2340
클레이다이노,0xB09DE62Fbf789D63b7A3e742044Fb44a752AAb21
Young thug,0xDF62dd873ae063A6DFc83898EB58b74633bdEc60
Dogesoundclub,0xB5fB9371a6fE131c289e977C5714337C46298A21
ㅋ 출시할 절미 느프트 주면 안되?? ㅋㅋ,0x0D0D936aB8333e31dE791B88D67F29ac5F5dDB81
Klaydino,0x3ac7A730f4f6C9Af64d7F301F98e70756aEE4B37
DSC MATES | DIGITAL IDENTITY,0x5B55e08eE6dd4eF31F75Fe97dFC34cb5FE9405f9
DSC Mate,0x50109593DA0007C0BAF1BbC5792B849ce3d30158
DSC eMATES,0x5e65D1C355D34e8Bd08DC27FD1F0BcADed1F0244
NewKlayPUNKS,0xF66e0E248c643c11Aa66bE2B838D2747b1faCcC0
klapes,0xfa1ee243063271C24B7E30674f6ecEAbA3921d26
Mixmon,0xff8d490c514620f2d9e3b4337cf96f2a0d0731b1
3DMongz,0x869A83C3D912318fb8FcAC6ADadDaA50c2F373f6
애니멀펑크V2,0xc3b7356337ACE19902798F4dC3a2fc4648F6e113
DSC Mate #5792,0x3a41c3F55DE01BE783D095e09aE14D2133865f7E
DSC 메이트,0x945521e6c96Ce563eA62102A029938160023ba2C
dsc mate,0x37ACC8521242670940cBe823bFD00A66d56e4813
메이트,0x1AEc79E799af0FdD444561B52cF7368C8eaC3F5b
DSC MATES | DIGITAL IDENTITY,0xb767183c8f4d24a95b55d140bae044d1f4e6da59
NewKlayPUNKS,0x1b3761A74C109fb77d307548050f48C35d7E1AcF
메타콩즈,0xf4cE3F6EFA3dA8131bbA63878fb2e53e23CfDa13
doge sound club,0x7217D32B37207698f6bFCf1ca48CB040f3c86884
DSC Mate #7664,0xF9D0BC4eFe9dE9F48f6B1901cbd554C93Cb24030
메타콩즈,0xEb8B748ed028E23C353558408B9CeDF5Bb8270c0
KlayDino,0xB5C002d6Ead3373BA93d6D0a9e64281c6A3850e0
THE META KONGZ,0xB3c9Af5482EA356c322DD6673925f4D3c870F6fC
Metakongz,0x66a5f07F67c63C0C071f68759508C79f14D7643C
THE META KONGZ,0x3bA5AbA2D7a7d763D409f1599BFB574C9c4Cd953
도사클 메이트,0xAD760641DDf4ff98bb18C3090aFEBf9E15db205E
newklaypunks,0x1a40612171e925Db71a03230B031FcCF14369941
Land : Joseon Dynasty,0xd4ffd6132D24bE1053423ce47cA3136059817970
Pixel Cat #2703,0x0cF2c48372B483606F906E72dc0E210636e30c72
도지사운드클럽 메이트,0x752035685b9d561A862346D873498690EFF0123F
메타콩즈,0x7e78c04108135c649F80949974bAf495627dAeEA
애니멀펑크,0x8158EcDfC39Ef8eF26FF260785B332F7Cb63506a
도지사운드클럽 NFT,0x0Ac0e818D0b164C042C1575c1a3FA1e73DA67637
도사클 메이트!!,0xBf75D048717E563E98dD7A700c12F928d6D625fd
KlayForest,0xAf0042ce6423283a54fdDDaDFDCf3f73aEa974d2
Klapes,0xF4bc719498E314ECBAeFb0DA95A39Ba699C37c6B
klaydino,0x73D265acb9FB0256745Cc175C992540F92D3cf2D
Cat Town Punks #14654,0x03E79A7fAefd7f8a99019874d9E94C04ac1D961f
SheepFarm,0x9b6D20844cD47eC21f5D6dfc881beAE240Ec7C8E
DSC MATES,0x128e795DaD31686a915aD2472d01534Ae9a0Aa07
도사클!!!!!,0x5C159d391DD293A31b49b48cB96C609495a53398
클레이자이언트베이비,0xe70Ba582CD92278D2116B6cF31B5cFA53fFe933c
DSC MATES,0x6c5731f95B548423611DF27886A566eD911e31E4
Treasures Club,0x92F50355e6E5bB89d760941e2AE30A0176091314
dsc mates,0xfcb260bb0F9e7de665B49C845C2C3e036F21E032
DSC 메이트,0x55049d8DA007F2917183f7b269127267D9032903
DOGESOUNDCLUB MATES,0xb3e68828087B21E7F535678506Aa55ac2762deF5
ROOMER CLUB,0x46353FF451dC154f60Bf8d3fF09864C3d8c477C2
DSC 메이트,0x7886d92EDD17cB2621e4f269a0E55Ca5990352CE
조선nft,0xc0bF78B6BbFCc58ED4ABb8dD2D46544b354811C7
메이트,0xB3339e3F977BfD3Fe207493d1334D42181993F17
이메이트,0xDca4ba4F8E6e4d20166A4dd327467849fa7CeaE6
DSC 메이트,0xB5C56d504d24C0253c500F4d6eAaD20ba8D98B4B
Ephenia #5,0xC66cf659F69496856f0Db1b90e567073E82845BD
떡방앗간 NFT,0x9584Fa3a814582244637ec6DD30e74c08f9001D7
DSC MATES,0xED7B48FC53c31Dc545F827F2c3b0C15BB42d994C
dogesoundclub-mates,0x74f869A084651A773dE24bDc1F4aCbE3ac6DA7e6
Joseon Dynasty,0x83f9479B7B49397EDF4f30FA29D6B73f5A262d38
DSC 메이트,0xA89BE9f4256565a4d148c3C65eAf7566a83A3B92
KlayRabbit,0x306A8C5f4a3BE50B5e624Dc8a7226311718481Da
도싸클!!!!!근본!!,0x6A6B62d9db9e93d03100caEDa4101acb1f1E1460
메타콩즈,0x37601a25e8b54FD7c0CFd5F51cDf5f62AA27532E
DSC Mate #3888,0x713ec2a2476ea38fef7d5adbc4e8260dc065c984
메타콩즈,0xff7b6fa86aa765a64B6F0fE1dBA403806BeFF6bF
DSC 메이트,0x1d3590Ed8157a403500D02DB4e09E9AE9Ced4441
클레이락!,0x24f9DCba9c5bfd16817ed76b71b26A4b8971F24e
메타콩즈,0x760be12C3b2ec7329c6207d5Bf1214b66816c398
Crypto Bands World,0x34e3d0b97F8f0a3a9dcF1eA71Fc9Fc0FEc59d4f6
KLITS,0x645F0bA8455514031D6B632d48cf8e88D3dE6De3
dsc mate!,0x5382fc5176c57d19982d0092660dec25b92767c5
Klay Mystery Egg,0x06f804A725A26Fd53924a85A04efB5241Acdf3fd
THE META KONGZ,0xdCC8fEBFD2FCD26626E93F74e6eB35ec1Ff87B3f
DSC 메이트,0xb26FbB58215FB7aC0e5FfE8c8e2037BC688fc447
MineralNFT,0xa6c7A5240e1F61bd27375ab926Fe915379D30797
도지사운드클럽,0x97Ce600f1edfA95904869dB9B22c8A6792838D38
Klitary,0x9b8d3597CC6Febc1C64B94B80e1FD77b815dBb69
MineralNFT,0x1AE17759B49fE0CBbB7320f42ecB1E10600DF24E
KlayFox,0xf43a43224E10a9d7901c9fcC51b4d57dC7d4E892
김민경 크리에이터의 위장인형들_빼꼼,0xedB5A39089b3f803BC8a43E505aE9D7C718E2Df3
DSC MATES | DIGITAL IDENTITY,0x6D92Efd882866F33e6ef104085E963eeA89dC526
DSC 메이트,0x52cBA93868b3EeeA04ee70bB18847b5964c681B9
THE META KONGZ,0x44EAEB5D7A9051d7019363541cF1bb1fb6f14B66
DSC 메이트,0x9d9E691c914F505584A45321E9727b680578D799
MetaFighter-for-klayth,0x42cD94557564C1A3D4b5Fc83768aC1f235d484bA
DSC Mates,0xF13E42c19Fc64DC16Fc20C73D67adB61133Ef52B
메타콩즈,0x14e357eE441e6868f2d3e396b9E132AC1751059c
DSC MATES,0xE30C2f988333D5c19903CD37CF1C36797D954A85
도싸클 메이트,0x582fb9bB5d5e1Abc246168Fb8d3F78D2C2987f74
CryptoCarto PinToken,0x044817A139c739aBe003aCC620da54187b6Ec8f2
THE META KONGZ,0x379ed6587bc19a77DfF3f2c9A5b7010fC679601A
DSC 메이트,0x2e5642F0fBa4b530E47656335e999F313Ec41311
DSC,0x1BcD6eb32d98243eF3Ff04e9eB9d7326A260103c
DSC 메이트,0xD7d6F5ABEEd3dA54161CC1a8eC4319c42f9bc0AC
DSC MATES,0x1825448575A3bD3228FB3Cf179D6E9233325ada8
klapes,0x17fA65a35f3ec2e62d9aA53F30E286EA3e8eb6f4
Land : Joseon Dynasty,0x8c5d8BC0a527665f975833d5ad687839C904D22A
klapes,0xC035a4c0e495cEcA847Ce0074F099D201B429Fc6
KlayDino,0x9e2ea5AAaaf337f941a20D17607834A2ecD48CFe
Dream Home Club,0x81ac0fE51e7ddCB20B2FB3CE5B681BF8473Bf820
도지사운드클럽메이트,0xe1254B33C9AA6e933d4216A223E03BFca54Fc1C8
KlayDoges Friend,0x65063efb56335A0Df50F8a19Cd8A0d5e90C969ed
DSC MATE,0x046B217f395CE4cF1E225a8BE896d35871A19cD6
도지사운드클럽메이트,0x19eedb95904384Bb8447e290310ece3cbbc4C2d7
Land : Joseon Dynasty,0x5954865f9f9ab269C3300796b78F52E79Ffa4B1c
SHEEP,0x3f505C85a61Eb7DE6B2270b73cE76fB966E4003C
도지사운트클럽메이트,0x74E1Df4DD079a769AC8C3c96E116e3cEfF5DbC52
DOGESOUNDCLUB MATES,0xA01E7D54F9211001A788E1d712cD648e6AC70d4C
ALAP : THE LOST PIONEERS,0x79fe9e7e2167C65bDA5e1bdc6Bb2418811Fb7310
도사클,0xBEa683063a7A8C434a09BF4C5aE61e54544a2447
도지사운트클럽메이트,0xD1A736b79E55B76809df2d2eFe6d141b83414978
CrayonBoys,0x2783907E491936db2A794F4298C9887aC5A8534b
THE META KONGZ,0x01c292597D1A4Cb837dd14E02Cbb0798bC14E659
DSC Mates,0x63F886218AFd3aEc91a1cA31fEa9eaB5Ebc8b608
sheepfarm,0xE2f9CCb51eC31D0Fd42aB11963c30a5Af8ce2269
DSC 메이트,0x668E7359fC2556d6dc3002368883FBd387c4E9C9
Doge Sound Club,0x6Fa8b43f12564C2D863Bda608CA4e7879068df59
클에입스,0xEf37F4C340Cc3552F1f678580C3EBD45dA069077
DSC MATE,0x95A658B61E0B42e1db6222C93AE954e847c02D23
정면돌파: 고양이편 by 김수민,0xECe963f95520c455C96C8f8f594cD98B45B1d275
KlayRabbit,0x799fd61fE08A2715d6F79Bb3b2Fb9CBAeb9EE6bF
DSC 메이트,0x3923b539449893aCdbf55A7F3e899D01aCC68590
DSC 메이트,0x83d118d704c110C627629d33da0E31054b8B7B99
DSC MATES | DIGITAL IDENTITY,0x1C97B2a685db918C9ed8B29c2266358162612B3b
도사클 메이트! 외쳐 갓영재!,0x2E6Fd2DA8D948a7F0Fb33EEb1EB709651d704EE3
DSC,0x83a16C5116D211E9ecFFa265C68f1597b10585dA
Land: Joseon Dynasty,0xCAAd44B511afD36bDCE6b5fF8215201984222357
인절미nft 발매되면 가지고싶어!,0x2193a69c0f2cdad9353686dfb06e3ac893b95356
odd Mushroom #4,0x91877139ED6856607b76AF1c72e832d94d0047D9
DSC Mate #8622,0xC6f5F969AAAC42d73c6E09e75B322fcF007baA1a
TODAYIS,0x70d5d3fE2A5AD89Ea7A1e63BbFE00769610805e1
Klaydobermann,0x1624a06d2Ac2c6c4961562Cd469Cfde7f6De7435
mates,0x9E0dBA59451e2243bA23806F797E1933e2aaa431
Land : Joseon Dynasty,0xa7923De5A8D65B4B92860e0E9f103cB61FB76801
트레져스클럽,0x2404B8100434335294b43C9a83035Dc09F8e33B6
블루웨일(BWPM)(클스왑에서 SBWPM 구입 후 블루웨일 사이트에서 SBWPM-BWPM 1:1 스왑),0x669694940be3502Ea2F986E928Ef1774Fc6392B8
메타콩즈,0xf88Ce692B9532b0C998EfDd4DB8275EeBCd1aF02
FEWK4teens DDOGG for Klaytn,0x3cB7F324d9B7DFF42138E71cD78DD29cDe1e73aB
RURIA NFT,0xE300D7e0a78A33971A5D99d8340B8D6D334263fe
DSC 메이트,0x5518CDc574482Cc5C6F02a83b8472f88e76B4C71
당연히 상품은 ~ DSC 메이트,0x409882C6F34f9E00f6A3063aF03426B954Ba483F
DSC 메이트,0x28E0663DB3d1C61f6a98623d4BF660B99b87a497
메타콩즈,0x4260FfB8461C14E9568FB6373F33ad987ff818eD
Animal Kingdom Friends,0xDF62dd873ae063A6DFc83898EB58b74633bdEc60
도지사운드 클럽 메이트,0xCBf79584ff79845cd19E42f0BEA1E649A5357e78
메타콩즈,0xf105f74fA01d9a39a315eeDB75a7068cdd70cFcD
3DMongz #0106 Beads of Wishes (부담되면 3D몽즈 아무거나!!),0xbAAB51C31BDC0b366C90f5f7Ce4c46c353b2A643
메이트,0xD52483a370De0afc4A1318814d3eb85b66A263Be
Klay Forest V2,0xE9d931775647b84C928578DC32250F998DF732D1
1000IJM,0xC6f5F969AAAC42d73c6E09e75B322fcF007baA1a
SheepFarm,0x9c6858A92D12b2863b7488D35d20D6D22e1a7c5b
dsc mates,https://opensea.io/collection/dogesoundclub-mates
DSC 메이트,0x10e09cD7693884323CB076081F220BA64Ee0D194
DSC MATES,0x21D6de1f8523c7e45a50834C26D296A97993F887
메이트,0xb56fd8408592B4f08De6E724d5Fc16D3e254fd7D
dsc mate,0xfAebFf24B90Aa80c0A8197b948c4Edf932D4C104
KLAY APE CLUB,0x9FD7d5fa826dfc29ba8b93B77d3Ab65E1DaE1171
클레이 포레스트,0xB542896883B5fff7f69D06BaBc2d35D1C149e5D4
클럽스에서 누똥바의 느프트를 서프라이즈!,0xe47e90c58f8336a2f24bcd9bcb530e2e02e1e8ae
KLITS,0xC36c885257d1Fde3Da0DCe94Ee96F149d2e35433
Klaydogesfriend,0x3dc5dDeB9C3613682d79C3e38b14CBA39FC7817E
friendscity,0x1114c0A4b40F3A6efF9e2ceAa76a9c91B56518c2
DSC MATE,0x5FcF10ff0ad4FF259A57EaEd2b56A2366420354B
CuteCatClub,0xE54e769928cf7cB4A3198E7a4E41FCe5B9337096
DSC 메이트,0x0510cc989f92B3d9D73d8b8AAf2e9caA16618faf
NewKlayPUNKS,0x1b1Ee1e5f087641eCe468E0AcB2570dc3B7dB986
Spoon Founder Ticket,0xaFaF8e9d4Ac0118FF0468cB78846060E6295d7D2
Cuna White Witch,0xE77C964141872229d6c32D8d661c5C5945Fdc739
Klayweasel,0x8A7f911031fbF34940aFdbDe2bfEAcF40441348b
